862,168425.0,2013-09-09T01:30:00.000,9/9/2013,1:30:00,Arrest,100 W PINE ST,2013-00375675,Narcotics,Committed,Highway/Road/Alley,Drugs/narcotics,"{'type': 'Point', 'coordinates': [-81.38128806, 28.54128239]}",Mapped,28.54128239,-81.38128806,32801
2115,169678.0,2016-12-15T16:26:00.000,12/15/2016,16:26:00,Closed,1500 MERCY DR,2016-00503325,Burglary,Committed,Church/Religious Building,Burglary/breaking and entering,"{'type': 'Point', 'coordinates': [-81.43053598, 28.5618964]}",Mapped,28.5618964,-81.43053598,32808
474,168037.0,2017-07-24T13:27:00.000,7/24/2017,13:27:00,Closed,1 N ORANGE AVE,2017-01001467,Theft,Committed,Bar/Night Club/Country Club,All other larceny,"{'type': 'Point', 'coordinates': [-81.379058224, 28.543088996]}",Mapped,8.543088996,-81.37905822,00000
480,168043.0,2013-12-17T01:54:00.000,12/17/2013,1:54:00,Closed,S ORANGE AVE / E MICHIGAN ST,2013-00526486,Assault,Committed,Highway/Road/Alley,Simple assault,"{'type': 'Point', 'coordinates': [-81.37631539, 28.51291207]}",Mapped,28.51291207,-81.37631539,32806
980,168543.0,2017-04-19T03:36:00.000,4/19/2017,3:36:00,Closed,600 W CENTRAL BLVD,2017-00151864,Burglary,Attempted,Commercial/Office Building,Burglary/breaking and entering,"{'type': 'Point', 'coordinates': [-81.388024161, 28.542005129]}",Mapped,8.542005129,-81.38802416,00000
809,168372.0,2010-06-06T12:41:00.000,6/6/2010,12:41:00,Closed,1100 CLAY ST,2010-00266188,Theft,Committed,Church/Religious Building,All other larceny,"{'type': 'Point', 'coordinates': [-81.37321716, 28.58813369]}",Mapped,28.58813369,-81.37321716,32789
544,168107.0,2014-07-01T09:47:00.000,7/1/2014,9:47:00,Arrest,1800 S KIRKMAN RD,2014-00274169,Theft,Committed,School,All other larceny,"{'type': 'Point', 'coordinates': [-81.45914817, 28.51997559]}",Mapped,28.51997559,-81.45914817,32811
2095,169658.0,2011-04-13T18:53:00.000,4/13/2011,18:53:00,Closed,5100 CURRY FORD RD,2011-00165800,Theft,Committed,Commercial/Office Building,All other larceny,"{'type': 'Point', 'coordinates': [-81.32277774, 28.52429142]}",Mapped,28.52429142,-81.32277774,32812
1394,168957.0,2014-11-06T17:15:00.000,11/6/2014,17:15:00,Closed,4900 LUNA NEGRA DR,2014-00461389,Burglary,Committed,Residence/Single,Burglary/breaking and entering,"{'type': 'Point', 'coordinates': [-81.44619435, 28.53371327]}",Mapped,28.53371327,-81.44619435,32811
1845,169408.0,2017-05-03T14:17:00.000,5/3/2017,14:17:00,Inactive,4700 S KIRKMAN RD,2017-00172458,Theft,Committed,Apartment/Condo,All other larceny,"{'type': 'Point', 'coordinates': [-81.458943038, 28.491892383]}",Mapped,8.491892383,-81.45894303,00000
1201,168764.0,2016-10-12T10:54:00.000,10/12/2016,10:54:00,Open,3500 MILLENIA BLVD,2016-00414266,Fraud,Committed,Convenience Store,Credit card/atm fraud,"{'type': 'Point', 'coordinates': [-81.41897255, 28.49424111]}",Mapped,28.49424111,-81.41897255,32839
570,168133.0,2011-09-26T00:49:00.000,9/26/2011,0:49:00,Closed,ROSE BAY DR / ROSE OF TRALEE WAY,2011-00426378,Narcotics,Committed,Highway/Road/Alley,Drugs/narcotics,"{'type': 'Point', 'coordinates': [-81.43931629, 28.60020451]}",Mapped,28.60020451,-81.43931629,32808
1685,169248.0,2015-03-08T03:56:00.000,3/8/2015,3:56:00,Arrest,1 W PINE ST,2015-00097645,Assault,Committed,Highway/Road/Alley,Simple assault,"{'type': 'Point', 'coordinates': [-81.37990739, 28.54129173]}",Mapped,28.54129173,-81.37990739,32801
1420,168983.0,2010-05-18T08:09:00.000,5/18/2010,8:09:00,Closed,1300 S KIRKMAN RD,2010-00232519,Theft,Committed,Apartment/Condo,All other larceny,"{'type': 'Point', 'coordinates': [-81.45925887, 28.52685488]}",Mapped,28.52685488,-81.45925887,32835
1083,168646.0,2011-12-19T19:10:00.000,12/19/2011,19:10:00,Arrest,5700 CURRY FORD RD,2011-00554246,Narcotics,Committed,Apartment/Condo,Drugs/narcotics,"{'type': 'Point', 'coordinates': [-81.30831519, 28.52281416]}",Mapped,28.52281416,-81.30831519,32807
1451,169014.0,2016-05-05T15:53:00.000,5/5/2016,15:53:00,Closed,2400 S HIAWASSEE RD,2016-00186051,Fraud,Committed,Grocery/Supermarket,Credit card/atm fraud,"{'type': 'Point', 'coordinates': [-81.48454607, 28.51640352]}",Mapped,28.51640352,-81.48454607,32835
1198,168761.0,2015-06-01T16:28:00.000,6/1/2015,16:28:00,Closed,1700 WOOLCO WAY,2015-00224974,Theft,Committed,Laundromat/Dry Cleaner,All other larceny,"{'type': 'Point', 'coordinates': [-81.31183137, 28.52292187]}",Mapped,28.52292187,-81.31183137,32822
576,168139.0,2014-04-26T19:30:00.000,4/26/2014,19:30:00,Arrest,4900 INTERNATIONAL DR,2014-00173339,Theft,Committed,Mall,Shoplifting,"{'type': 'Point', 'coordinates': [-81.44958996, 28.47391409]}",Mapped,28.47391409,-81.44958996,32819
825,168388.0,2017-07-15T04:54:00.000,7/15/2017,4:54:00,Closed,5700 CROWNTREE LN,2017-00274542,Theft,Committed,Parking Lot - Surface,Theft from motor vehicle except parts/accessories,"{'type': 'Point', 'coordinates': [-81.248935673, 28.479787848]}",Mapped,8.479787848,-81.24893567,00000
1073,168636.0,2015-04-24T04:32:00.000,4/24/2015,4:32:00,Closed,600 BARRY ST,2015-00167465,Vehicle Theft,Committed,Auto Dealer/Car Lot,Motor vehicle theft,"{'type': 'Point', 'coordinates': [-81.43403275, 28.55164038]}",Mapped,28.55164038,-81.43403275,32808
294,167857.0,2010-08-20T06:14:00.000,8/20/2010,6:14:00,Closed,5000 MILLENIA BV,2010-00391612,Theft,Committed,Apartment/Condo,All other larceny,"{'type': 'Point', 'coordinates': [-81.44227024, 28.47874533]}",Mapped,28.47874533,-81.44227024,32839
1395,168958.0,2017-09-18T11:32:00.000,9/18/2017,11:32:00,Closed,5600 PECOS ST,2017-00367258,Burglary,Committed,Other,Burglary/breaking and entering,"{'type': 'Point', 'coordinates': [-81.312192302, 28.529429875]}",Mapped,8.529429875,-81.3121923,00000
1357,168920.0,2013-08-05T17:18:00.000,8/5/2013,17:18:00,Closed,4900 EAGLESMERE DR,2013-00321531,Theft,Committed,Apartment/Condo,All other larceny,"{'type': 'Point', 'coordinates': [-81.46273965, 28.48990807]}",Mapped,28.48990807,-81.46273965,32819
278,167841.0,2012-10-31T19:49:00.000,10/31/2012,19:49:00,Arrest,4100 MILLENIA BV,2012-00452046,Theft,Committed,Electronic Store,All other larceny,"{'type': 'Point', 'coordinates': [-81.43041755, 28.48927738]}",Mapped,28.48927738,-81.43041755,32839
518,168081.0,2014-01-07T11:25:00.000,1/7/2014,11:25:00,Closed,5700 EAGLE VAIL DR,2014-00800083,Fraud,Committed,Auto Dealer/Car Lot,False pretense/swindle/confidence game,"{'type': 'Point', 'coordinates': [-81.30873399, 28.4721218]}",Mapped,28.4721218,-81.30873399,32822
1848,169411.0,2012-01-05T12:58:00.000,1/5/2012,12:58:00,Closed,W CHURCH ST / GLENN LN,2012-00006239,Assault,Committed,Highway/Road/Alley,Simple assault,"{'type': 'Point', 'coordinates': [-81.39049451, 28.54013213]}",Mapped,28.54013213,-81.39049451,32805
2044,169607.0,2015-04-04T20:46:00.000,4/4/2015,20:46:00,Closed,400 N ORANGE BLOSSOM TRL,2015-00138259,Vehicle Theft,Committed,Bar/Night Club/Country Club,Motor vehicle theft,"{'type': 'Point', 'coordinates': [-81.39736127, 28.54837891]}",Mapped,28.54837891,-81.39736127,32805
421,167984.0,2017-07-23T10:55:00.000,7/23/2017,10:55:00,Closed,500 WOODLAND ST,2017-00286359,Theft,Committed,Residence/Single,Theft from motor vehicle except parts/accessories,"{'type': 'Point', 'coordinates': [-81.369761255, 28.522542472]}",Mapped,8.522542472,-81.36976125,00000
